"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI Тестирование","0","Калькулятор","1","0","Арифметические операции","0"
"0","UI Тестирование","0","Интернет-магазин","1","0","Оформление заказа","0"
